Timestamp,Cars,Motorcycles,Buses,Trucks,Total,UP,DOWN,Current Vehicles,Density
2026-09-10 10:01:31,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:32,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:33,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:34,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:36,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:37,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:38,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:01:39,0,0,0,0,0,0,0,0,LOW
